LOJA;LONGITUDE;LATITUDE;REGIAO;DISTRITO
1013;-46,59136385;-23,62341623;GR01;ABCD-SP
1014;-46,94893322;-22,36745179;GR04;CAMPINAS
1015;-40,317798;-20,393915;GR02;ESPIRITO SANTO
1016;-54,572765;-20,410205;GR10;MT/MS
1017;-51,062896;0,010329;GR13;AMAPÁ/PARÁ
1018;-44,2739353;-19,47396445;GR02;MG INTERIOR
1019;-40,9883825;-3,715798932;GR09;CEARÁ
1020;-46,57196498;-23,65448099;GR01;ABCD-SP
1021;-43,3591;-22,775644;GR08;BAIXADA2
1022;-40,18851832;-10,45023342;GR11;AL/SE
1023;-49,079772;-5,353324;GR13;AMAPÁ/PARÁ
1024;-47,93438;-19,75198;GR02;TRIANGULO MINEIRO/BH
1025;-46,69507691;-23,57326369;GR01;ZONA LESTE-SP
1026;-40,49966712;-9,399846555;GR11;AL/SE
1027;-50,99567825;-29,94953361;GR05;RIO GRANDE DO SUL
1028;-44,161765;-19,962397;GR02;MG INTERIOR
1029;-46,50755001;-23,66328895;GR01;ABCD-SP
1030;-45,884978;-22,233855;GR02;MG INTERIOR
1031;-40,84083304;-14,85380176;GR11;BA INT
1032;-40,29541218;-20,350197;GR02;ESPIRITO SANTO
1033;-43,61280359;-22,97350139;GR03;BARRA/IPANEMA
1034;-51,15211;-23,285961;GR05;PARANA/SP INT
1035;-49,13391625;-5,349642094;GR13;AMAPÁ/PARÁ
1037;-47,48441758;-5,531553288;GR13;MARANHÃO/PIAUI
1038;-43,94947419;-19,94559007;GR02;MG INTERIOR
1039;-45,38011489;-3,661234398;GR13;MARANHÃO/PIAUI
1040;-47,455218;-22,580314;GR04;CAMPINAS
